ward_num,councillor_x,councillor_y,councillor_x_img,councillor_y_img,councillor_x_full_name,councillor_y_full_name,councillor_x_email,councillor_y_email,councillor_x_phone,councillor_y_phone
0,BROWN,BROWN,https://www.brampton.ca/EN/City-Hall/Mayor-Office/images/PatricBrown.jpg,https://www.brampton.ca/EN/City-Hall/Mayor-Office/images/PatricBrown.jpg,Patrick Brown,Patrick Brown,,,,
1,SANTOS,VINCENTE,https://www.brampton.ca/EN/City-Hall/CouncilOffice/PublishingImages/casualHeadshots/councillorSantos.jpg,https://www.brampton.ca/EN/City-Hall/CouncilOffice/PublishingImages/casualHeadshots/councillorVicente.jpg,Rowena Santos,Paul Vincente,rowena.santos@brampton.ca,paul.vicente@brampton.ca,905.874.2605,905.874.2601
2,PALLESCHI,WHILLANS,https://www.brampton.ca/EN/City-Hall/CouncilOffice/PublishingImages/casualHeadshots/michaelPalleschi.jpg,https://www.brampton.ca/EN/City-Hall/CouncilOffice/PublishingImages/casualHeadshots/dougWhillans.jpg,Michael Palleschi,Doug Whillans,michael.palleschi@brampton.ca,doug.whillans@brampton.ca,905.874.2661,905.874.2606
3,BOWMAN,MEDEIROS,https://www.brampton.ca/EN/City-Hall/CouncilOffice/PublishingImages/casualHeadshots/jeffBowman.jpg,https://www.brampton.ca/EN/City-Hall/CouncilOffice/PublishingImages/casualHeadshots/martinMedeiros.jpg,Jeff Bowman,Martin Medeiros,jeff.bowman@brampton.ca,martin.medeiros@brampton.ca,905.874.2603,905.874.2634
4,BOWMAN,MEDEIROS,https://www.brampton.ca/EN/City-Hall/CouncilOffice/PublishingImages/casualHeadshots/jeffBowman.jpg,https://www.brampton.ca/EN/City-Hall/CouncilOffice/PublishingImages/casualHeadshots/martinMedeiros.jpg,Jeff Bowman,Martin Medeiros,jeff.bowman@brampton.ca,martin.medeiros@brampton.ca,905.874.2603,905.874.2634
5,SANTOS,VINCENTE,https://www.brampton.ca/EN/City-Hall/CouncilOffice/PublishingImages/casualHeadshots/councillorSantos.jpg,https://www.brampton.ca/EN/City-Hall/CouncilOffice/PublishingImages/casualHeadshots/councillorVicente.jpg,Rowena Santos,Paul Vincente,rowena.santos@brampton.ca,paul.vicente@brampton.ca,905.874.2605,905.874.2601
6,PALLESCHI,WHILLANS,https://www.brampton.ca/EN/City-Hall/CouncilOffice/PublishingImages/casualHeadshots/michaelPalleschi.jpg,https://www.brampton.ca/EN/City-Hall/CouncilOffice/PublishingImages/casualHeadshots/dougWhillans.jpg,Michael Palleschi,Doug Whillans,michael.palleschi@brampton.ca,doug.whillans@brampton.ca,905.874.2661,905.874.2606
7,FORTINI,WILLIAMS,https://www.brampton.ca/EN/City-Hall/CouncilOffice/PublishingImages/casualHeadshots/patFortini.jpg,https://www.brampton.ca/EN/City-Hall/CouncilOffice/PublishingImages/casualHeadshots/councillorWilliams.jpg,Pat Fortini,Charmaine Williams,pat.fortini@brampton.ca,charmaine.williams@brampton.ca,905.874.2611,905.874.2671
8,FORTINI,WILLIAMS,https://www.brampton.ca/EN/City-Hall/CouncilOffice/PublishingImages/casualHeadshots/patFortini.jpg,https://www.brampton.ca/EN/City-Hall/CouncilOffice/PublishingImages/casualHeadshots/councillorWilliams.jpg,Pat Fortini,Charmaine Williams,pat.fortini@brampton.ca,charmaine.williams@brampton.ca,905.874.2611,905.874.2671
9,DHILLON,SINGH,https://www.brampton.ca/EN/City-Hall/CouncilOffice/PublishingImages/casualHeadshots/gurpreetDhillon.jpg,https://www.brampton.ca/EN/City-Hall/CouncilOffice/PublishingImages/casualHeadshots/councillorSingh.jpg,Gurpreet Dhillon,Harkirat Singh,gurpreet.dhillon@brampton.ca,harkirat.singh@brampton.ca,905.874.2609,905.874.2610
10,DHILLON,SINGH,https://www.brampton.ca/EN/City-Hall/CouncilOffice/PublishingImages/casualHeadshots/gurpreetDhillon.jpg,https://www.brampton.ca/EN/City-Hall/CouncilOffice/PublishingImages/casualHeadshots/councillorSingh.jpg,Gurpreet Dhillon,Harkirat Singh,gurpreet.dhillon@brampton.ca,harkirat.singh@brampton.ca,905.874.2609,905.874.2610
